feedback,sentiment,nps,service_advisor_name,brand_name,branch,date,promoters,passive,detractor,category,topic
There is no,positive,10,Avtik Prakash Raje,Nissan,NISSAN Service Airport Road,2022-12-30,1,0,0,Communication,Speed of Service
Harish is great. The only person who listened to issues I had last time and made sure the same did not happen this time.,positive,10,Harish Venugopalan,Nissan,NISSAN Service Airport Road,2022-12-30,1,0,0,Communication,Speed of Service
Al Masaood are the best,positive,10,Anandhakrishnan Nair,Nissan,NISSAN Service Airport Road,2023-01-03,1,0,0,Communication,Speed of Service
Mr june and Sachin are very helpful,positive,10,Juan Kasilag,Nissan,NISSAN Service Mussafah,2023-01-03,1,0,0,Communication,Speed of Service
The technicians are not at a high level,negative,0,Muhd Adnan Aslam,Renault,RENAULT Service Al Ain,2023-01-03,0,0,1,Communication,Speed of Service
Finish car maintenance on the same day if possible,negative,10,Anandhakrishnan Nair,Nissan,NISSAN Service Airport Road,2023-01-03,1,0,0,Communication,Speed of Service
"Poor Time management, staff wrong communication, this is 3rd time facing the same issue and never complained before, you must provide service as per agreements and payment done. Staff didn‚Äôt clean my car from inside outside even made it dirty as gave in clean condition. Bad smell inside the car after service. No action taken so far to resolve the issue.",negative,0,Ronaldo Padernos,Nissan,NISSAN Service Airport Road,2023-01-03,0,0,1,Communication,Speed of Service
Khalil kept me updated through out the process and managed to the car ready on the same day for a 40K check . I was very impressed with his attitude and Care to customers . Great asset to Almasood,positive,10,Khalil Ur Rahman,Infiniti,INFINITI Service Mussafah,2023-01-04,1,0,0,Communication,Speed of Service
"Keep this level of service and quality 
Thanks so much ",positive,10,Md Sekander,Nissan,NISSAN Service Mussafah,2023-01-04,1,0,0,Communication,Speed of Service
Very cooperative.... understanding.... customer oriented,positive,10,Salwa Rboub,Infiniti,INFINITI Service Mussafah,2023-01-04,1,0,0,Communication,Speed of Service
The service advisor was very helpful,positive,10,Abuthahir Siddhiqu,Nissan,NISSAN Service Mussafah,2023-01-04,1,0,0,Communication,Speed of Service
"To be more polite in general with dealing with your customers, and explain for your team and your call center that customer always right",positive,1,Anandhakrishnan Nair,Nissan,NISSAN Service Airport Road,2023-01-04,0,0,1,Communication,Speed of Service
The car wash was not at the required level,negative,9,Ali Musa,Nissan,NISSAN Service Mussafah,2023-01-04,1,0,0,Communication,Speed of Service
I found the wiper cut off,negative,0,Marla Nunez,Nissan,NISSAN Service Airport Road,2023-01-04,0,0,1,Communication,Speed of Service
"All was good - the service agent was great, first class. V efficient. Thank you ",positive,10,Ronaldo Padernos,Nissan,NISSAN Service Airport Road,2023-01-05,1,0,0,Communication,Speed of Service
khalil was very helpful and supportive,positive,10,Khalil Ur Rahman,Infiniti,INFINITI Service Mussafah,2023-01-05,1,0,0,Service Experience,Insurance/Warranty
"It‚Äôs very good 
Thanks ",positive,10,Nabeel Ambalavan,Nissan,NISSAN Service Airport Road,2023-01-05,1,0,0,Service Experience,Insurance/Warranty
Appreciate if you can continue to provide good prices to make us feel special and VIP,positive,8,Khalil Ur Rahman,Infiniti,INFINITI Service Mussafah,2023-01-05,0,1,0,Service Experience,Insurance/Warranty
Please provide taxi service to free (from service center to town),positive,8,Hany Sobhy Muhammad,Nissan,NISSAN Service Mussafah,2023-01-05,0,1,0,Service Experience,Insurance/Warranty
Organising a date for the service and a reminder could be improved,positive,10,Hany Sobhy Muhammad,Nissan,NISSAN Service Mussafah,2023-01-05,1,0,0,Service Experience,Insurance/Warranty
Keep it up,positive,10,Charbel Semaan,Nissan,NISSAN Service Al Ain,2023-01-05,1,0,0,Service Experience,Insurance/Warranty
Please have a free maintenance service or add the maintenance value to the car price with a reasonable number,negative,10,Muhammad Adnan Aslam,Nissan,NISSAN Service Al Ain,2023-01-05,1,0,0,Service Experience,Insurance/Warranty
